2022-12-09 19:47:52.636 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21 ms. Found 1 Neo4j repository interfaces.
2022-12-09 19:47:52.647 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-09 19:47:52.648 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-12-09 19:47:52.659 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface edu.whu.learneur.neo4j.dao.KnowledgeRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2022-12-09 19:47:52.659 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2022-12-09 19:47:54.737 [main] INFO  org.neo4j.driver.internal.DriverFactory - Direct driver instance 1822045793 created for server address wslhost:7687
2022-12-09 19:47:55.216 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static org.springframework.core.env.Environment edu.whu.learneur.utils.CodeUtils.env
2022-12-09 19:47:55.384 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1716c037, org.springframework.security.web.session.ForceEagerSessionCreationFilter@79b63325, org.springframework.security.web.session.ForceEagerSessionCreationFilter@6dd20ec9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@708769b7, org.springframework.security.web.context.SecurityContextPersistenceFilter@6e948f1c, org.springframework.security.web.header.HeaderWriterFilter@485451d8, org.springframework.security.web.authentication.logout.LogoutFilter@17d2b646, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7ed8b44, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6249a08d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@32e830a0, org.springframework.security.web.session.SessionManagementFilter@7d088813, org.springframework.security.web.access.ExceptionTranslationFilter@6f106af8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@65fc8edc]
2022-12-09 19:47:56.029 [main] INFO  org.neo4j.driver.internal.InternalDriver - Closing driver instance 1822045793
2022-12-09 19:47:56.275 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-12-09 19:51:52.875 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [edu.whu.learneur.service.CrawlTest], using SpringBootContextLoader
2022-12-09 19:51:52.881 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [edu.whu.learneur.service.CrawlTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-12-09 19:51:52.881 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [edu.whu.learneur.service.CrawlTest]: CrawlTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-12-09 19:51:52.966 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration edu.whu.learneur.LearneurApplication for test class edu.whu.learneur.service.CrawlTest
2022-12-09 19:51:53.042 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-12-09 19:51:53.057 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@266374ef, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@13b3d178, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@24c4ddae, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@37fb0bed, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@a82c5f1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7b7fdc8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@51c693d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6a57ae10, org.springframework.test.context.event.EventPublishingTestExecutionListener@766653e6, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4e07b95f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@28b46423, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7fc4780b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3b79fd76, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@48c76607, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@43599640]
2022-12-09 19:51:53.332 [main] INFO  edu.whu.learneur.service.CrawlTest - Starting CrawlTest using Java 1.8.0_352 on DESKTOP-6IUE2F6 with PID 9796 (started by 10049 in D:\学习\大三\javaee项目\Learneur_1\Learneur)
2022-12-09 19:51:53.333 [main] INFO  edu.whu.learneur.service.CrawlTest - No active profile set, falling back to 1 default profile: "default"
2022-12-09 19:51:53.861 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-09 19:51:53.863 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Neo4j repositories in DEFAULT mode.
2022-12-09 19:51:53.983 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 116 ms. Found 0 Neo4j repository interfaces.
2022-12-09 19:51:53.988 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-09 19:51:53.988 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Neo4j repositories in DEFAULT mode.
2022-12-09 19:51:54.010 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22 ms. Found 1 Neo4j repository interfaces.
2022-12-09 19:51:54.021 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-09 19:51:54.022 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-12-09 19:51:54.033 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface edu.whu.learneur.neo4j.dao.KnowledgeRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2022-12-09 19:51:54.033 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2022-12-09 19:51:55.966 [main] INFO  org.neo4j.driver.internal.DriverFactory - Direct driver instance 1454499111 created for server address wslhost:7687
2022-12-09 19:51:56.450 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static org.springframework.core.env.Environment edu.whu.learneur.utils.CodeUtils.env
2022-12-09 19:51:56.587 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@135e49b2, org.springframework.security.web.session.ForceEagerSessionCreationFilter@5bb97fe7, org.springframework.security.web.session.ForceEagerSessionCreationFilter@6e948f1c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@10b87ff6, org.springframework.security.web.context.SecurityContextPersistenceFilter@7ed8b44, org.springframework.security.web.header.HeaderWriterFilter@68b3248a, org.springframework.security.web.authentication.logout.LogoutFilter@6cd2cb2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6249a08d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2c7ad4f3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@63262071, org.springframework.security.web.session.SessionManagementFilter@2b35c7aa, org.springframework.security.web.access.ExceptionTranslationFilter@7f305f34, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3f322610]
2022-12-09 19:51:57.159 [main] INFO  org.neo4j.driver.internal.InternalDriver - Closing driver instance 1454499111
2022-12-09 19:51:57.403 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-12-09 19:54:25.442 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [edu.whu.learneur.service.CrawlTest], using SpringBootContextLoader
2022-12-09 19:54:25.448 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [edu.whu.learneur.service.CrawlTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-12-09 19:54:25.448 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [edu.whu.learneur.service.CrawlTest]: CrawlTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-12-09 19:54:25.532 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration edu.whu.learneur.LearneurApplication for test class edu.whu.learneur.service.CrawlTest
2022-12-09 19:54:25.607 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-12-09 19:54:25.621 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@266374ef, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@13b3d178, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@24c4ddae, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@37fb0bed, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@a82c5f1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7b7fdc8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@51c693d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6a57ae10, org.springframework.test.context.event.EventPublishingTestExecutionListener@766653e6, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4e07b95f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@28b46423, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7fc4780b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3b79fd76, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@48c76607, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@43599640]
2022-12-09 19:54:25.901 [main] INFO  edu.whu.learneur.service.CrawlTest - Starting CrawlTest using Java 1.8.0_352 on DESKTOP-6IUE2F6 with PID 42692 (started by 10049 in D:\学习\大三\javaee项目\Learneur_1\Learneur)
2022-12-09 19:54:25.901 [main] INFO  edu.whu.learneur.service.CrawlTest - No active profile set, falling back to 1 default profile: "default"
2022-12-09 19:54:26.446 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-09 19:54:26.448 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Neo4j repositories in DEFAULT mode.
2022-12-09 19:54:26.571 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 117 ms. Found 0 Neo4j repository interfaces.
2022-12-09 19:54:26.574 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-09 19:54:26.574 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Neo4j repositories in DEFAULT mode.
2022-12-09 19:54:26.596 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21 ms. Found 1 Neo4j repository interfaces.
2022-12-09 19:54:26.606 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-09 19:54:26.607 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-12-09 19:54:26.617 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface edu.whu.learneur.neo4j.dao.KnowledgeRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2022-12-09 19:54:26.618 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2022-12-09 19:54:28.581 [main] INFO  org.neo4j.driver.internal.DriverFactory - Direct driver instance 394190359 created for server address wslhost:7687
2022-12-09 19:54:29.056 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static org.springframework.core.env.Environment edu.whu.learneur.utils.CodeUtils.env
