2022-12-04 14:13:06.012 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [edu.whu.learneur.LearneurApplicationTests], using SpringBootContextLoader
2022-12-04 14:13:06.020 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [edu.whu.learneur.LearneurApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-12-04 14:13:06.021 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [edu.whu.learneur.LearneurApplicationTests]: LearneurApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-12-04 14:13:06.168 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration edu.whu.learneur.LearneurApplication for test class edu.whu.learneur.LearneurApplicationTests
2022-12-04 14:13:06.288 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-12-04 14:13:06.308 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4e07b95f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@28b46423, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@7fc4780b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3b79fd76, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@48c76607, org.springframework.test.context.support.DirtiesContextTestExecutionListener@43599640, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1f81aa00, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6b6776cb, org.springframework.test.context.event.EventPublishingTestExecutionListener@1863d2fe, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1787bc24, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@544d57e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@55c53a33, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@53b7f657, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@797b0699, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5a37d3ed]
2022-12-04 14:13:06.689 [main] INFO  edu.whu.learneur.LearneurApplicationTests - Starting LearneurApplicationTests using Java 1.8.0_102 on LAPTOP-DRBT65OB with PID 11296 (started by Akihabara in D:\360MoveData\Users\Akihabara\OneDrive\桌面\大三\JavaEE大作业\Learneur\learneur)
2022-12-04 14:13:06.690 [main] INFO  edu.whu.learneur.LearneurApplicationTests - No active profile set, falling back to 1 default profile: "default"
2022-12-04 14:13:07.532 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-04 14:13:07.535 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-12-04 14:13:07.568 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20 ms. Found 0 Redis repository interfaces.
2022-12-04 14:13:10.885 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static org.springframework.core.env.Environment edu.whu.learneur.utils.CodeUtils.env
2022-12-04 14:13:11.430 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@16e1219f, org.springframework.security.web.session.ForceEagerSessionCreationFilter@13f40d71, org.springframework.security.web.session.ForceEagerSessionCreationFilter@23e61112, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@73a845cb, org.springframework.security.web.context.SecurityContextPersistenceFilter@340afaf8, org.springframework.security.web.header.HeaderWriterFilter@21274afe, org.springframework.security.web.authentication.logout.LogoutFilter@79195c22, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4fb57fb3, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@36d582cb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@18a98913, org.springframework.security.web.session.SessionManagementFilter@3e43f049, org.springframework.security.web.access.ExceptionTranslationFilter@7364f68, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1e495414]
2022-12-04 14:13:13.021 [main] INFO  edu.whu.learneur.LearneurApplicationTests - Started LearneurApplicationTests in 6.67 seconds (JVM running for 8.011)
2022-12-04 14:13:13.551 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-12-04 14:13:13.732 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-12-04 14:13:13.796 [main] INFO  edu.whu.learneur.aspect.LoggerAspect - findBooks在2022-12-04T14:13:13.796被正常调用
2022-12-04 14:13:13.840 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-12-04 14:13:13.848 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
