2022-12-05 14:21:25.331 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@14a50707, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4d518b32, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4bd31064, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@e3c0e40, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@329dbdbf, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7354b8c5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@20d7d6fb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4ef782af, org.springframework.test.context.event.EventPublishingTestExecutionListener@11d8ae8b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@479cbee5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@59e2d8e3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2b72cb8a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7f8a9499, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5d43661b, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@12299890]
2022-12-05 14:21:25.720 [main] INFO  edu.whu.learneur.LearneurApplicationTests - Starting LearneurApplicationTests using Java 1.8.0_102 on LAPTOP-DRBT65OB with PID 2652 (started by Akihabara in D:\360MoveData\Users\Akihabara\OneDrive\桌面\大三\JavaEE大作业\Learneur\learneur)
2022-12-05 14:21:25.721 [main] INFO  edu.whu.learneur.LearneurApplicationTests - No active profile set, falling back to 1 default profile: "default"
2022-12-05 14:21:26.465 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-05 14:21:26.468 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-12-05 14:21:26.497 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16 ms. Found 0 Redis repository interfaces.
2022-12-05 14:21:29.584 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static org.springframework.core.env.Environment edu.whu.learneur.utils.CodeUtils.env
2022-12-05 14:21:30.132 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6cc48a17, org.springframework.security.web.session.ForceEagerSessionCreationFilter@289f15e9, org.springframework.security.web.session.ForceEagerSessionCreationFilter@106c988, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7f22687e, org.springframework.security.web.context.SecurityContextPersistenceFilter@5627cb29, org.springframework.security.web.header.HeaderWriterFilter@6e95973c, org.springframework.security.web.authentication.logout.LogoutFilter@e3899fd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@79ca7bea, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@147cc940, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6af87130, org.springframework.security.web.session.SessionManagementFilter@55a0f011, org.springframework.security.web.access.ExceptionTranslationFilter@48499739, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@447521e]
2022-12-05 14:21:31.621 [main] INFO  edu.whu.learneur.LearneurApplicationTests - Started LearneurApplicationTests in 6.238 seconds (JVM running for 7.537)
2022-12-05 14:25:12.676 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [edu.whu.learneur.LearneurApplicationTests], using SpringBootContextLoader
