2022-12-08 15:02:34.316 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [edu.whu.learneur.service.CrawlTest], using SpringBootContextLoader
2022-12-08 15:02:34.325 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [edu.whu.learneur.service.CrawlTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-12-08 15:02:34.326 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [edu.whu.learneur.service.CrawlTest]: CrawlTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-12-08 15:02:34.470 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration edu.whu.learneur.LearneurApplication for test class edu.whu.learneur.service.CrawlTest
2022-12-08 15:02:34.577 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-12-08 15:02:34.597 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4bf48f6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@420a85c4, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1c39680d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@62833051, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1c852c0f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@a37aefe, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5d99c6b5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@266374ef, org.springframework.test.context.event.EventPublishingTestExecutionListener@13b3d178, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@24c4ddae, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@37fb0bed, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@a82c5f1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7b7fdc8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@51c693d, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6a57ae10]
2022-12-08 15:02:34.968 [main] INFO  edu.whu.learneur.service.CrawlTest - Starting CrawlTest using Java 1.8.0_271 on LAPTOP-MTFLNKU4 with PID 15700 (started by Lenovo in F:\java_code\Learneur\Learneur)
2022-12-08 15:02:34.968 [main] INFO  edu.whu.learneur.service.CrawlTest - No active profile set, falling back to 1 default profile: "default"
2022-12-08 15:02:35.819 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-08 15:02:35.822 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Neo4j repositories in DEFAULT mode.
2022-12-08 15:02:35.964 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 134 ms. Found 0 Neo4j repository interfaces.
2022-12-08 15:02:35.968 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-08 15:02:35.968 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Neo4j repositories in DEFAULT mode.
2022-12-08 15:02:35.995 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 1 Neo4j repository interfaces.
2022-12-08 15:02:36.008 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-08 15:02:36.009 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-12-08 15:02:36.026 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface edu.whu.learneur.neo4j.dao.KnowledgeRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2022-12-08 15:02:36.026 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2022-12-08 15:02:39.083 [main] INFO  org.neo4j.driver.internal.DriverFactory - Direct driver instance 1474310983 created for server address wslhost:7687
2022-12-08 15:02:39.774 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static org.springframework.core.env.Environment edu.whu.learneur.utils.CodeUtils.env
2022-12-08 15:02:39.960 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7254838, org.springframework.security.web.session.ForceEagerSessionCreationFilter@39374689, org.springframework.security.web.session.ForceEagerSessionCreationFilter@10bdfbcc, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2e204155, org.springframework.security.web.context.SecurityContextPersistenceFilter@60ed0b9d, org.springframework.security.web.header.HeaderWriterFilter@770cae59, org.springframework.security.web.authentication.logout.LogoutFilter@6dd20ec9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@34beadce, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6ce2e079, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@27dc335a, org.springframework.security.web.session.SessionManagementFilter@601f264d, org.springframework.security.web.access.ExceptionTranslationFilter@4005e485, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@79308a2]
2022-12-08 15:02:41.303 [main] INFO  edu.whu.learneur.service.CrawlTest - Started CrawlTest in 6.669 seconds (JVM running for 8.051)
2022-12-08 15:02:53.520 [SpringApplicationShutdownHook] INFO  org.neo4j.driver.internal.InternalDriver - Closing driver instance 1474310983
2022-12-08 15:02:53.523 [SpringApplicationShutdownHook] INFO  o.n.driver.internal.async.pool.ConnectionPoolImpl - Closing connection pool towards wslhost:7687
2022-12-08 15:04:52.432 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [edu.whu.learneur.service.CrawlTest], using SpringBootContextLoader
2022-12-08 15:04:52.440 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [edu.whu.learneur.service.CrawlTest]: no resource found for suffixes {-context.xml, Context.groovy}.
